timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:54:53.399, 36.05 W, 0 %
2026/05/28 02:54:53.503, 36.14 W, 0 %
2026/05/28 02:54:53.606, 36.05 W, 0 %
2026/05/28 02:54:53.709, 36.14 W, 0 %
2026/05/28 02:54:53.812, 36.05 W, 0 %
2026/05/28 02:54:53.915, 36.05 W, 0 %
2026/05/28 02:54:54.096, 35.95 W, 0 %
2026/05/28 02:54:54.199, 35.95 W, 2 %
2026/05/28 02:54:54.305, 46.22 W, 2 %
2026/05/28 02:54:54.408, 46.79 W, 65 %
2026/05/28 02:54:54.511, 46.89 W, 65 %
2026/05/28 02:54:54.614, 46.87 W, 100 %
2026/05/28 02:54:54.718, 46.98 W, 100 %
2026/05/28 02:54:54.821, 46.60 W, 100 %
2026/05/28 02:54:54.929, 46.31 W, 94 %
2026/05/28 02:54:55.032, 46.70 W, 94 %
2026/05/28 02:54:55.135, 46.80 W, 88 %
2026/05/28 02:54:55.238, 46.98 W, 100 %
2026/05/28 02:54:55.341, 46.98 W, 100 %
2026/05/28 02:54:55.450, 46.89 W, 100 %
2026/05/28 02:54:55.553, 46.87 W, 100 %
2026/05/28 02:54:55.656, 46.79 W, 100 %
2026/05/28 02:54:55.759, 46.89 W, 100 %
2026/05/28 02:54:55.862, 46.89 W, 100 %
2026/05/28 02:54:55.965, 46.79 W, 100 %
2026/05/28 02:54:56.071, 46.89 W, 100 %
2026/05/28 02:54:56.174, 46.99 W, 100 %
2026/05/28 02:54:56.277, 46.89 W, 100 %
2026/05/28 02:54:56.380, 47.06 W, 100 %
2026/05/28 02:54:56.483, 46.89 W, 100 %
2026/05/28 02:54:56.586, 46.89 W, 100 %
2026/05/28 02:54:56.692, 46.79 W, 100 %
2026/05/28 02:54:56.795, 46.98 W, 100 %
2026/05/28 02:54:56.898, 46.89 W, 100 %
2026/05/28 02:54:57.001, 46.99 W, 100 %
2026/05/28 02:54:57.104, 47.08 W, 100 %
2026/05/28 02:54:57.207, 46.90 W, 100 %
2026/05/28 02:54:57.313, 47.08 W, 100 %
2026/05/28 02:54:57.416, 46.97 W, 100 %
2026/05/28 02:54:57.519, 46.98 W, 100 %
2026/05/28 02:54:57.622, 47.08 W, 100 %
2026/05/28 02:54:57.726, 46.79 W, 100 %
2026/05/28 02:54:57.829, 46.79 W, 100 %
2026/05/28 02:54:57.940, 46.98 W, 100 %
2026/05/28 02:54:58.043, 46.90 W, 100 %
2026/05/28 02:54:58.146, 46.99 W, 100 %
2026/05/28 02:54:58.249, 47.08 W, 100 %
2026/05/28 02:54:58.352, 46.98 W, 100 %
2026/05/28 02:54:58.456, 46.98 W, 100 %
2026/05/28 02:54:58.563, 47.08 W, 100 %
